Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
2440,1992,11,25,MIL,MILITARY,T-37B,,,,,,,,,,,,,KMER,CASTLE ARPT,CA,AWP,,LANDING ROLL,DAY,,8,90,0,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115495,1992,11,26,EGF,AMERICAN EAGLE AIRLINES,ATR-42,A,97,1,3,31,10,2,C,4,4,,,KJFK,JOHN F KENNEDY INTL,NY,AEA,,APPROACH,NIGHT,,,,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124450,1992,11,26,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMCO,ORLANDO INTL,FL,ASO,,,,,,,0,K3201,BALD EAGLE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128731,1992,11,26,GLA,GREAT LAKES AIRLINES,BE-1900,A,123,27,3,31,4,2,C,4,4,,,KAPN,ALPENA COUNTY REG,MI,AGL,,,,,0,,,1G11,WHITE-TAILED DEER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105462,1992,11,26,PVT,PRIVATELY OWNED,PA-23-250,A,729,18,2,7,31,2,A,4,4,,,ZZZZ,UNKNOWN,,,Y,LANDING ROLL,DAY,RAIN,0,70,0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108079,1992,11,26,BUS,BUSINESS,GULFAERO IV,A,421,4,4,37,46,2,D,5,5,,,KBUR,BOB HOPE ARPT,CA,AWP,Y,TAKEOFF RUN,DAY,NONE,0,,0,NE1,GULL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103449,1992,11,26,USA,1US AIRWAYS,FOKKER F100,A,372,12,4,37,46,2,D,5,5,,,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,ASO,N,APPROACH,DAY,NONE,10,120,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106339,1992,11,26,USA,1US AIRWAYS,MD-82,A,583,37,4,34,10,2,D,5,5,,,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,AEA,N,APPROACH,DAY,FOG,300,130,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103878,1992,11,26,BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-120,A,332,11,3,31,10,2,C,4,4,,,KGRR,GERALD R. FORD INTL ARPT,MI,AGL,N,TAKEOFF RUN,DAY,NONE,0,110,0,J21,DUCK,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129414,1992,11,27,UAL,UNITED AIRLINES,B-737-500,A,148,33,4,10,1,2,D,1,1,,,KSMF,SACRAMENTO INTL,CA,AWP,,APPROACH,,,,,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4191,1992,11,27,MIL,MILITARY,T-38A,A,,,,,,,,,,,,KSPS,SHEPPARD AFB/WICHITA FALLS MUNI ARPT,TX,ASW,Y,CLIMB,DAY,,200,200,,UNKBM,UNKNOWN MEDIUM BIRD,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101148,1992,11,27,MTR,METROFLIGHT,BA-31 JETSTR,A,168,3,2,19,4,2,C,4,4,,,KACT,WACO REGIONAL ARPT,TX,ASW,N,DESCENT,DAY,NONE,2500,190,,K1,NEW WORLD VULTURES,1,OTHER,,,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105340,1992,11,27,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KTEB,TETERBORO AIRPORT,NJ,AEA,Y,,,,,,0,NE1,GULL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
