Record ID,Incident Year,Incident Month,Incident Day,Operator,Aircraft ,Engines,Engine Type,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Height Bands,Speed,Speed Bands,Species Name,Species Quantity,Flight Impact,Aircraft Damage,Engine Ingested
105467,1992,12,8,Business,BE-200 KING,2,C,Evansville Regional,IN,AGL,Unknown,TAKEOFF RUN,DAWN,NONE,0,On Ground,0,Stationary,European Starling,1,NONE,No,No
103996,1992,12,9,Business,C-172,1,A,Unknown,UNKNOWN,NA,Unknown,EN ROUTE,DAY,NONE,1500,Medium Altitude,100,Low Speed,Turkey Vulture,1,PRECAUTIONARY LANDING,Yes,No
126981,1992,12,9,Hawaiian Air,DC-9,2,D,Hilo Intl Arpt,HI,AWP,Unknown,TAKEOFF RUN,DAY,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,No,No
4843,1992,12,9,Military,T-38A,0,NA,Sheppard Afb/Wichita Falls Muni Arpt,TX,ASW,Yes,APPROACH,DAY,NONE,300,Low Altitude,165,Medium Speed,Unknown Medium Bird,1,NONE,Yes,No
106575,1992,12,9,1Us Airways,B-737-200,2,D,La Guardia Arpt,NY,AEA,Unknown,APPROACH,DUSK,NONE,100,Low Altitude,160,Medium Speed,Gull,1,NONE,No,No
112991,1992,12,9,Business,MU-300,2,D,Charles B Wheeler Downtown Arpt,MO,ACE,No,CLIMB,DAY,FOG,650,Medium Altitude,150,Medium Speed,Duck,2-10,PRECAUTIONARY LANDING,Yes,No
128209,1992,12,9,Privately Owned,C-152,1,A,Buffalo Airfield Arpt,NY,AEA,Unknown,LANDING ROLL,DAY,NONE,0,On Ground,0,Stationary,White-Tailed Deer,1,NONE,Yes,No
101480,1992,12,10,Northwest Airlines,SAAB-340,2,C,Unknown,UNKNOWN,NA,No,EN ROUTE,NIGHT,NONE,6000,High Altitude,180,Medium Speed,Unknown Large Bird,1,PRECAUTIONARY LANDING,No,No
104982,1992,12,10,Allegheny Airlines,DHC8 DASH 8,2,C,La Guardia Arpt,NY,AEA,No,APPROACH,DAY,NONE,400,Low Altitude,130,Medium Speed,Gull,1,NONE,No,No
4844,1992,12,10,Military,T-38A,0,NA,Sheppard Afb/Wichita Falls Muni Arpt,TX,ASW,Yes,APPROACH,DAY,NONE,300,Low Altitude,165,Medium Speed,Unknown Medium Bird,1,NONE,No,No
127651,1992,12,10,United Airlines,DC-10-30,3,D,Sydney Intl Arpt,UNKNOWN,FGN,Unknown,TAKEOFF RUN,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,Yes,Yes
120183,1992,12,11,Unknown,UNKNOWN,0,NA,Orlando Intl,FL,ASO,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Dove,1,NONE,No,No
116535,1992,12,11,Northwest Airlines,DC-9,2,D,Norfolk Intl,VA,AEA,Yes,LANDING ROLL,DAY,NONE,0,On Ground,140,Medium Speed,Gull,2-10,NONE,No,No
107054,1992,12,11,Delta Air Lines,B-727,3,D,Norfolk Intl,VA,AEA,Unknown,TAKEOFF RUN,DAY,RAIN,0,On Ground,0,Stationary,Gull,1,NONE,No,No
106920,1992,12,11,Southwest Airlines,B-737-500,2,D,Sacramento Intl,CA,AWP,No,APPROACH,NIGHT,NONE,6000,High Altitude,250,High Speed,"Ducks, Geese, Swans",2-10,NONE,Yes,Yes
105395,1992,12,11,1Us Airways,FOKKER F100,2,D,Cleveland-Hopkins Intl Arpt,OH,AGL,Yes,TAKEOFF RUN,DAY,FOG,0,On Ground,0,Stationary,Gull,1,NONE,No,No
105636,1992,12,11,Business,PA-31 NAVAJO,2,A,Portland Intl Jetport (Me),ME,ANE,No,CLIMB,NIGHT,NONE,600,Medium Altitude,100,Low Speed,Unknown Medium Bird,1,NONE,No,No
108129,1992,12,11,Business,DA-20 FALCON,2,D,Fort Lauderdale Executive Arpt,FL,ASO,No,CLIMB,DAY,NONE,50,Low Altitude,0,Stationary,Unknown Medium Bird,1,NONE,No,No
106166,1992,12,12,Westair Commuter,BA-31 JETSTR,2,C,Norman Y. Mineta San Jose Intl Arpt,CA,AWP,No,CLIMB,DAY,NONE,1800,Medium Altitude,140,Medium Speed,Gull,1,NONE,No,No
103773,1992,12,12,Southwest Airlines,B-737-300,2,D,San Diego Intl,CA,AWP,No,LANDING ROLL,DAY,NONE,0,On Ground,100,Low Speed,American Robin,1,NONE,No,No
107551,1992,12,12,Sierra Pacific Airlines,B-737-200,2,D,Salt Lake City Intl,UT,ANM,Unknown,APPROACH,NIGHT,NONE,500,Low Altitude,160,Medium Speed,Unknown Medium Bird,2-10,NONE,No,No
107599,1992,12,13,American Airlines,B-727-200,3,D,Miami Intl,FL,ASO,No,CLIMB,DAY,NONE,750,Medium Altitude,175,Medium Speed,Gull,2-10,NONE,No,No
120184,1992,12,13,Unknown,UNKNOWN,0,NA,Orlando Intl,FL,ASO,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Brown Thrasher,1,NONE,No,No
2422,1992,12,14,Military,C-21A,0,NA,Laurence G Hanscom Field Arpt,MA,ANE,Unknown,APPROACH,NIGHT,NONE,30,Low Altitude,125,Medium Speed,Unknown Medium Bird,1,NONE,No,No
126029,1992,12,14,Unknown,UNKNOWN,0,NA,Panama City - Bay County Intl,FL,ASO,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Peregrine Falcon,1,NONE,No,No
103389,1992,12,14,Business Express,SAAB-340,2,C,General Edward Lawrence Logan Intl Arpt,MA,ANE,Yes,TAKEOFF RUN,DAY,NONE,0,On Ground,0,Stationary,Horned Lark,2-10,NONE,No,No
107596,1992,12,15,Continental Airlines,B-737-300,2,D,Louie Armstrong New Orleans Intl Arpt,LA,ASW,Yes,APPROACH,DAY,NONE,0,On Ground,0,Stationary,Gull,1,NONE,No,No
101959,1992,12,15,Unknown,PA-44 SEMINOLE,2,A,Vero Beach Municipal,FL,ASO,No,APPROACH,DAY,NONE,550,Medium Altitude,77,Low Speed,New World Vultures,1,NONE,No,No
117978,1992,12,15,Unknown Commercial,B-757-200,2,D,Philadelphia Intl,PA,AEA,Unknown,TAKEOFF RUN,NIGHT,NONE,0,On Ground,0,Stationary,White-Tailed Deer,1,ABORTED TAKEOFF,No,No
116536,1992,12,15,Business,BE-100 KING,2,C,Toledo Express Arpt,OH,AGL,No,APPROACH,DAY,NONE,15,Low Altitude,150,Medium Speed,Canada Goose,2-10,NONE,No,No
